time_sent,time_received,time_elapsed
2023-04-24 21:48:07.334443,2023-04-24 21:48:07.676923,342.48
2023-04-24 21:48:07.335418,2023-04-24 21:48:07.678874,343.456
2023-04-24 21:48:07.676923,2023-04-24 21:48:07.680831,3.908
2023-04-24 21:48:07.678874,2023-04-24 21:48:07.682780,3.906
2023-04-24 21:48:07.680831,2023-04-24 21:48:07.685711,4.88
2023-04-24 21:48:07.683759,2023-04-24 21:48:07.687664,3.905
2023-04-24 21:48:07.685711,2023-04-24 21:48:07.689615,3.904
2023-04-24 21:48:07.687664,2023-04-24 21:48:07.692544,4.88
2023-04-24 21:48:07.689615,2023-04-24 21:48:07.694499,4.884
2023-04-24 21:48:07.693523,2023-04-24 21:48:07.696452,2.929
2023-04-24 21:48:07.695476,2023-04-24 21:48:07.699380,3.904
2023-04-24 21:48:07.698405,2023-04-24 21:48:07.701334,2.929
2023-04-24 21:48:07.699380,2023-04-24 21:48:07.703288,3.908
2023-04-24 21:48:07.702311,2023-04-24 21:48:07.705240,2.929
2023-04-24 21:48:07.704263,2023-04-24 21:48:07.707194,2.931
2023-04-24 21:48:07.706217,2023-04-24 21:48:07.709145,2.928
2023-04-24 21:48:07.708170,2023-04-24 21:48:07.711099,2.929
2023-04-24 21:48:07.710122,2023-04-24 21:48:07.714031,3.909
2023-04-24 21:48:07.712075,2023-04-24 21:48:07.717936,5.861
2023-04-24 21:48:07.715983,2023-04-24 21:48:07.719888,3.905
2023-04-24 21:48:07.718911,2023-04-24 21:48:07.722817,3.906
2023-04-24 21:48:07.720866,2023-04-24 21:48:07.725747,4.881
2023-04-24 21:48:07.722817,2023-04-24 21:48:07.727700,4.883
2023-04-24 21:48:07.726723,2023-04-24 21:48:07.730629,3.906
2023-04-24 21:48:07.728678,2023-04-24 21:48:07.732582,3.904
2023-04-24 21:48:07.731607,2023-04-24 21:48:07.735512,3.905
2023-04-24 21:48:07.732582,2023-04-24 21:48:07.737464,4.882
2023-04-24 21:48:07.735512,2023-04-24 21:48:07.739417,3.905
2023-04-24 21:48:07.738442,2023-04-24 21:48:07.741371,2.929
2023-04-24 21:48:07.739417,2023-04-24 21:48:07.742347,2.93
2023-04-24 21:48:07.741371,2023-04-24 21:48:07.744299,2.928
2023-04-24 21:48:07.743324,2023-04-24 21:48:07.746252,2.928
2023-04-24 21:48:07.745277,2023-04-24 21:48:07.750158,4.881
2023-04-24 21:48:07.747231,2023-04-24 21:48:07.753089,5.858
2023-04-24 21:48:07.754066,2023-04-24 21:48:07.777040,22.974
2023-04-24 21:48:07.751136,2023-04-24 21:48:07.778990,27.854
2023-04-24 21:48:07.778012,2023-04-24 21:48:07.781919,3.907
2023-04-24 21:48:07.779966,2023-04-24 21:48:07.783872,3.906
2023-04-24 21:48:07.781919,2023-04-24 21:48:07.784848,2.929
2023-04-24 21:48:07.783872,2023-04-24 21:48:07.787777,3.905
2023-04-24 21:48:07.786802,2023-04-24 21:48:07.792660,5.858
2023-04-24 21:48:07.788756,2023-04-24 21:48:07.795591,6.835
2023-04-24 21:48:07.793637,2023-04-24 21:48:07.797542,3.905
2023-04-24 21:48:07.796568,2023-04-24 21:48:07.799495,2.927
2023-04-24 21:48:07.798520,2023-04-24 21:48:07.801448,2.928
2023-04-24 21:48:07.800471,2023-04-24 21:48:07.820002,19.531
2023-04-24 21:48:07.802426,2023-04-24 21:48:07.850846,48.42
2023-04-24 21:48:07.840563,2023-04-24 21:48:07.852800,12.237
2023-04-24 21:48:07.851821,2023-04-24 21:48:07.855727,3.906
2023-04-24 21:48:07.854750,2023-04-24 21:48:07.857682,2.932
2023-04-24 21:48:07.856704,2023-04-24 21:48:07.858658,1.954
